 "Ndis", "ApproxLux"
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    89, 44000.5914
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    89, 44000.5914
    88, 44980.8663
    89, 44000.5914
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    89, 44000.5914
    89, 44000.5914
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    89, 44000.5914
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    89, 44000.5914
    88, 44980.8663
    89, 44000.5914
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    89, 44000.5914
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    89, 44000.5914
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    88, 44980.8663
    89, 44000.5914
    88, 44980.8663
    88, 44980.8663
    89, 44000.5914
    89, 44000.5914
    88, 44980.8663
    88, 44980.8663
    89, 44000.5914
    89, 44000.5914
    88, 44980.8663
    88, 44980.8663
    89, 44000.5914
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    88, 44980.8663
    88, 44980.8663
    88, 44980.8663
    89, 44000.5914
    88, 44980.8663
    88, 44980.8663
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    88, 44980.8663
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
    89, 44000.5914
